time_period,geographic_level,region_name,la_name,breakdown,characteristic_gender,characteristic_ethnic_major,characteristic_free_school_meals,characteristic_first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps
202122,Local authority,Inner London,Kensington and Chelsea,Free school meals,Girls,Total,FSM,Total,6.0,129.0,6257.75,48.5,123.0,95.3,65.0,50.4,94.0,72.9,55.0,42.6,18.0,14.0,25.0,19.4,544.93,4.22
202122,Local authority,Inner London,Kensington and Chelsea,Free school meals,Girls,Total,FSM all other,Total,6.0,259.0,14525.5,56.1,256.0,98.8,181.0,69.9,217.0,83.8,147.0,56.8,41.0,15.8,58.0,22.4,1305.89,5.04
202122,Local authority,Inner London,Lambeth,Free school meals,Girls,Total,FSM,Total,21.0,427.0,18479.0,43.3,408.0,95.6,178.0,41.7,255.0,59.7,249.0,58.3,88.0,20.6,128.0,30.0,1659.93,3.89
202122,Local authority,Inner London,Lambeth,Free school meals,Girls,Total,FSM all other,Total,20.0,694.0,35830.25,51.6,674.0,97.1,397.0,57.2,510.0,73.5,456.0,65.7,229.0,33.0,306.0,44.1,3289.69,4.74
202122,Local authority,Inner London,Lewisham,Free school meals,Girls,Total,FSM,Total,17.0,288.0,12091.75,42.0,272.0,94.4,100.0,34.7,165.0,57.3,156.0,54.2,51.0,17.7,87.0,30.2,1087.1,3.77
202122,Local authority,Inner London,Lewisham,Free school meals,Girls,Total,FSM all other,Total,16.0,818.0,44325.0,54.2,803.0,98.2,460.0,56.2,625.0,76.4,521.0,63.7,253.0,30.9,358.0,43.8,4034.54,4.93
202122,Local authority,Inner London,Newham,Free school meals,Girls,Total,FSM,Total,21.0,741.0,38745.75,52.3,721.0,97.3,405.0,54.7,521.0,70.3,470.0,63.4,214.0,28.9,289.0,39.0,3466.84,4.68
202122,Local authority,Inner London,Newham,Free school meals,Girls,Total,FSM all other,Total,20.0,1432.0,83559.75,58.4,1410.0,98.5,950.0,66.3,1176.0,82.1,1041.0,72.7,549.0,38.3,714.0,49.9,7613.95,5.32
202122,Local authority,Inner London,Southwark,Free school meals,Girls,Total,FSM,Total,20.0,509.0,25022.0,49.2,494.0,97.1,244.0,47.9,332.0,65.2,331.0,65.0,145.0,28.5,206.0,40.5,2292.03,4.5
202122,Local authority,Inner London,Southwark,Free school meals,Girls,Total,FSM all other,Total,20.0,991.0,57520.0,58.0,981.0,99.0,643.0,64.9,815.0,82.2,733.0,74.0,400.0,40.4,527.0,53.2,5312.67,5.36
202122,Local authority,Inner London,Tower Hamlets,Free school meals,Girls,Total,FSM,Total,18.0,641.0,32116.25,50.1,630.0,98.3,315.0,49.1,445.0,69.4,349.0,54.4,144.0,22.5,198.0,30.9,2823.45,4.4
202122,Local authority,Inner London,Tower Hamlets,Free school meals,Girls,Total,FSM all other,Total,19.0,934.0,50211.0,53.8,896.0,95.9,569.0,60.9,715.0,76.6,560.0,60.0,272.0,29.1,349.0,37.4,4508.48,4.83
202122,Local authority,Inner London,Wandsworth,Free school meals,Girls,Total,FSM,Total,12.0,234.0,11098.5,47.4,223.0,95.3,101.0,43.2,154.0,65.8,153.0,65.4,60.0,25.6,91.0,38.9,1022.67,4.37
202122,Local authority,Inner London,Wandsworth,Free school meals,Girls,Total,FSM all other,Total,14.0,694.0,41448.25,59.7,679.0,97.8,481.0,69.3,581.0,83.7,522.0,75.2,290.0,41.8,404.0,58.2,3878.65,5.59
202122,Local authority,Inner London,Westminster,Free school meals,Girls,Total,FSM,Total,11.0,293.0,15664.0,53.5,287.0,98.0,175.0,59.7,223.0,76.1,219.0,74.7,104.0,35.5,146.0,49.8,1456.72,4.97
202122,Local authority,Inner London,Westminster,Free school meals,Girls,Total,FSM all other,Total,11.0,623.0,40311.5,64.7,621.0,99.7,480.0,77.0,567.0,91.0,478.0,76.7,336.0,53.9,403.0,64.7,3780.11,6.07
202122,Local authority,Outer London,Barking and Dagenham,Free school meals,Girls,Total,FSM,Total,16.0,353.0,16093.25,45.6,346.0,98.0,145.0,41.1,211.0,59.8,144.0,40.8,55.0,15.6,86.0,24.4,1389.11,3.94
202122,Local authority,Outer London,Barking and Dagenham,Free school meals,Girls,Total,FSM all other,Total,16.0,958.0,51947.5,54.2,948.0,99.0,566.0,59.1,733.0,76.5,538.0,56.2,272.0,28.4,366.0,38.2,4624.14,4.83
202122,Local authority,Outer London,Barnet,Free school meals,Girls,Total,FSM,Total,23.0,409.0,18943.0,46.3,394.0,96.3,173.0,42.3,261.0,63.8,225.0,55.0,85.0,20.8,127.0,31.1,1681.06,4.11
202122,Local authority,Outer London,Barnet,Free school meals,Girls,Total,FSM all other,Total,25.0,1646.0,103251.5,62.7,1615.0,98.1,1211.0,73.6,1407.0,85.5,1093.0,66.4,749.0,45.5,873.0,53.0,9529.94,5.79
202122,Local authority,Outer London,Bexley,Free school meals,Girls,Total,FSM,Total,14.0,239.0,9499.75,39.7,227.0,95.0,80.0,33.5,115.0,48.1,85.0,35.6,38.0,15.9,50.0,20.9,805.08,3.37
202122,Local authority,Outer London,Bexley,Free school meals,Girls,Total,FSM all other,Total,16.0,1318.0,75236.75,57.1,1297.0,98.4,818.0,62.1,1038.0,78.8,727.0,55.2,476.0,36.1,579.0,43.9,6728.6,5.11
