time_period,geographic_level,region_name,la_name,breakdown,characteristic_gender,characteristic_ethnic_major,characteristic_free_school_meals,characteristic_first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps
202122,Local authority,East Midlands,Rutland,First language,Girls,Total,Total,Other than English,1.0,2.0,105.0,52.5,2.0,100.0,1.0,50.0,2.0,100.0,1.0,50.0,0.0,0.0,0.0,0.0,9.17,4.59
202122,Local authority,East Midlands,West Northamptonshire,First language,Girls,Total,Total,English,25.0,1845.0,92384.5,50.1,1801.0,97.6,926.0,50.2,1345.0,72.9,754.0,40.9,390.0,21.1,539.0,29.2,8022.75,4.35
202122,Local authority,East Midlands,West Northamptonshire,First language,Girls,Total,Total,Other than English,23.0,398.0,21536.25,54.1,392.0,98.5,223.0,56.0,304.0,76.4,230.0,57.8,129.0,32.4,169.0,42.5,1966.03,4.94
202122,Local authority,West Midlands,Birmingham,First language,Girls,Total,Total,English,89.0,4341.0,222809.0,51.3,4205.0,96.9,2287.0,52.7,3061.0,70.5,2101.0,48.4,1126.0,25.9,1478.0,34.0,19580.12,4.51
202122,Local authority,West Midlands,Birmingham,First language,Girls,Total,Total,Other than English,83.0,2700.0,141538.88,52.4,2649.0,98.1,1495.0,55.4,1944.0,72.0,1615.0,59.8,738.0,27.3,1004.0,37.2,12687.08,4.7
202122,Local authority,West Midlands,Coventry,First language,Girls,Total,Total,English,26.0,1274.0,61180.0,48.0,1236.0,97.0,605.0,47.5,860.0,67.5,451.0,35.4,215.0,16.9,290.0,22.8,5193.04,4.08
202122,Local authority,West Midlands,Coventry,First language,Girls,Total,Total,Other than English,24.0,603.0,30784.25,51.1,589.0,97.7,335.0,55.6,428.0,71.0,319.0,52.9,140.0,23.2,196.0,32.5,2772.84,4.6
202122,Local authority,West Midlands,Dudley,First language,Girls,Total,Total,English,22.0,1512.0,75075.25,49.7,1490.0,98.5,730.0,48.3,1040.0,68.8,396.0,26.2,238.0,15.7,304.0,20.1,6283.0,4.16
202122,Local authority,West Midlands,Dudley,First language,Girls,Total,Total,Other than English,20.0,163.0,7921.25,48.6,155.0,95.1,78.0,47.9,106.0,65.0,49.0,30.1,27.0,16.6,36.0,22.1,670.34,4.11
202122,Local authority,West Midlands,"Herefordshire, County of",First language,Girls,Total,Total,English,18.0,816.0,40024.5,49.0,789.0,96.7,390.0,47.8,567.0,69.5,321.0,39.3,174.0,21.3,242.0,29.7,3497.1,4.29
202122,Local authority,West Midlands,"Herefordshire, County of",First language,Girls,Total,Total,Other than English,14.0,55.0,3027.25,55.0,53.0,96.4,31.0,56.4,39.0,70.9,28.0,50.9,19.0,34.5,21.0,38.2,277.99,5.05
202122,Local authority,West Midlands,Sandwell,First language,Girls,Total,Total,English,21.0,1464.0,68732.5,46.9,1433.0,97.9,609.0,41.6,888.0,60.7,435.0,29.7,203.0,13.9,294.0,20.1,5677.26,3.88
