time_period,geographic_level,region_name,la_name,breakdown,characteristic_gender,characteristic_ethnic_major,characteristic_free_school_meals,characteristic_first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps
202122,Local authority,North West,Halton,Ethnic major,Girls,Black,Total,Total,1.0,1.0,47.0,47.0,1.0,100.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,3.83
202122,Local authority,North West,Halton,Ethnic major,Girls,Chinese,Total,Total,1.0,1.0,86.5,86.5,1.0,100.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,7.17
202122,Local authority,North West,Halton,Ethnic major,Girls,Mixed,Total,Total,7.0,23.0,1290.25,56.1,23.0,100.0,14.0,60.9,18.0,78.3,8.0,34.8,5.0,21.7,6.0,26.1,110.16,4.79
202122,Local authority,North West,Halton,Ethnic major,Girls,Other,Total,Total,2.0,3.0,110.25,36.8,3.0,100.0,1.0,33.3,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,9.17,3.06
202122,Local authority,North West,Halton,Ethnic major,Girls,Unclassified,Total,Total,6.0,16.0,805.75,50.4,16.0,100.0,9.0,56.3,11.0,68.8,2.0,12.5,1.0,6.3,1.0,6.3,66.0,4.13
202122,Local authority,North West,Halton,Ethnic major,Girls,White,Total,Total,10.0,730.0,35432.75,48.5,709.0,97.1,347.0,47.5,489.0,67.0,166.0,22.7,78.0,10.7,112.0,15.3,2905.16,3.98
202122,Local authority,North West,Knowsley,Ethnic major,Girls,Asian,Total,Total,4.0,5.0,201.0,40.2,3.0,60.0,3.0,60.0,3.0,60.0,2.0,40.0,1.0,20.0,2.0,40.0,17.83,3.57
202122,Local authority,North West,Knowsley,Ethnic major,Girls,Black,Total,Total,4.0,4.0,158.5,39.6,3.0,75.0,1.0,25.0,3.0,75.0,2.0,50.0,1.0,25.0,2.0,50.0,14.66,3.67
202122,Local authority,North West,Knowsley,Ethnic major,Girls,Mixed,Total,Total,5.0,8.0,278.5,34.8,8.0,100.0,2.0,25.0,3.0,37.5,3.0,37.5,1.0,12.5,2.0,25.0,23.16,2.9
202122,Local authority,North West,Knowsley,Ethnic major,Girls,Other,Total,Total,4.0,4.0,211.5,52.9,4.0,100.0,2.0,50.0,2.0,50.0,2.0,50.0,0.0,0.0,0.0,0.0,19.0,4.75
