characteristic_group,characteristic,gender,no_schools,t_mtc_eligible_pupils,t_mtc_pupils_completed_check,t_mtc_eligible_pupils_not_completed_check,t_mtc_scored_25,t_mtc_scored_24,t_mtc_scored_23,t_mtc_scored_22,t_mtc_scored_21,t_mtc_scored_20,t_mtc_scored_19,t_mtc_scored_18,t_mtc_scored_17,t_mtc_scored_16,t_mtc_scored_15,t_mtc_scored_14,t_mtc_scored_13,t_mtc_scored_12,t_mtc_scored_11,t_mtc_scored_10,t_mtc_scored_9,t_mtc_scored_8,t_mtc_scored_7,t_mtc_scored_6,t_mtc_scored_5,t_mtc_scored_4,t_mtc_scored_3,t_mtc_scored_2,t_mtc_scored_1,t_mtc_scored_0,t_mtc_absent,t_mtc_unable_to_participate,t_mtc_working_below,t_mtc_just_arrived,t_mtc_missing_reason,t_mtc_sum_scores,mtc_average_score
Free school meal status,FSM eligible,Girls,14128,83771,79323,4448,14177,6992,4763,3987,3514,3410,3212,3169,3241,3253,3210,3254,3192,3125,2959,2702,2319,2034,1682,1268,837,704,575,420,510,814,726,361,2877,39,445,1385577,17.5
Free school meal status,Not known to be FSM eligible,Girls,16024,234862,229432,5430,65325,29812,18777,14331,11814,10410,9403,8804,8140,7461,7029,6633,6047,5223,4467,3835,3184,2652,1795,1161,788,563,453,356,405,564,1020,535,3034,220,621,4652087,20.3
